№ анкеты,"1) Оцените, в какой мере оправдались Ваши ожидания, связанные с выбором образовательной программы",2) Оцените достаточность полученных теоретических знаний и приобретенных умений и навыков для осуществления эффективной профессиональной деятельности,"3) Оцените соответствие целей, результатов обучения по ОП содержанию ОП (подбор дисциплин, кол-во кредитов, методы обучения, процедуры оценивания и т.п)","4) Оцените качество профессорско-преподавательского состава (знания и квалификация ППС, педагогические качества, объективность оценивания и др.)","5) Оцените качество материально-технической ресурсов необходимой для реализации ОП (здания и сооружения, состояние аудиторного фонда, обеспеченность лабораторным оборудованием и т.д.)","6) Оцените наличие, качество и достаточность учебной и учебно-методической литературы по дисциплинам ОП (учебников, учебно-методических пособий, методических рекомендаций по выполнению заданий СРО, курсовых и дипломных работ и т.д.)","7) Оцените удовлетворенность электронной информационно-образовательной средой (широкополосного доступа в Интернет, системами Moodle, Platonus, электронной библиотеки и др.)","8) Оцените качество организации, проведения и содержание профессиональных практик","9) Как Вы считаете, на сколько соответствуют знания, умения и навыки, полученные обучающимися при освоении образовательной программы, оценке, полученной на итоговой аттестации (при защите дипломной работы / комплексного экзамена)","Ваши пожелания и предложения
",Язык,Длина,Тональность_класс
15240,9,7,6,7,8,7,6,6,8,"график пар без накладок, обратная связь понятная. учиться комфортно, впечатления позитивные, при этом коммуникация работают стабильно!",ru,long,positive
15241,2,2,1,4,3,1,1,1,2,"практика жетіспейді, нақты жағдайлар аз. күткенім толық орындалмады, айтпақшы мини‑жобалар пайдалы, айтпақшы кеңес алу оңай.",kz,long,negative
15242,8,9,7,8,9,8,8,8,8,"расписание без накладок, уведомления понятная, хотелось бы усилить практику и кейсы.",ru,medium,positive
15243,8,8,10,8,8,10,10,10,10,"бағдарлама нарыққа сай көрінеді!, кейде (896)",kz,short,positive
15244,9,10,8,9,10,9,8,8,9,"программа выглядит актуально, стоит подумать усилить практику и кейсы.",ru,medium,positive
15245,7,9,9,9,8,8,9,7,10,"формат практики удобный, инструкции доходчиво и по делу., замечу (424)",ru,medium,positive
15246,9,5,8,7,7,6,6,8,6,переносы бывают уведомляют заранее кейде өзгерістер,mixed,short,neutral
15247,7,5,7,8,7,4,6,5,6,"практика есть, формат привычный, было бы полезно усилить практику и разборы ситуаций.",ru,medium,neutral
15248,10,10,10,10,10,10,10,9,10,"кеңес алу оңай, байланыс ашық, болғаны дұрыс практиканы және мысалдар күшейту!, соңында (660)",kz,medium,positive
15249,2,1,2,3,1,1,3,3,2,"практика жетіспеушілік, нақты жағдайлар аз, сонымен қатар мини‑жобалар пайдалы…",kz,medium,negative
15250,7,9,10,9,9,8,10,9,9,"презентации и примеры приходят вовремя, имеет смысл усилить практику и примеры.",ru,medium,positive
15251,8,8,8,10,10,9,7,9,10,"консультации доступны, обратная связь прозрачная. программа выглядит современно, по итогу коммуникация работают стабильно, было бы полезно усилить практику и разборы ситуаций!",ru,long,positive
15252,10,8,10,9,9,10,8,9,9,"график пар без накладок, уведомления понятная, имеет смысл усилить практику и кейсы!",ru,medium,positive
15253,7,10,9,8,7,8,7,6,6,"программа выглядит актуально!, замечу (163)",ru,short,positive
15254,10,9,8,10,10,10,7,10,10,"на практике много разборы ситуаций, привязка к задачам отрасли есть. учиться комфортно, впечатления позитивные, между прочим обратная связь работают стабильно.",ru,long,positive
15255,7,10,8,10,10,9,8,10,9,"оқытушылар жедел жауап береді, түсіндіру нақты. бағдарлама заманауи көрінеді, сонымен қатар мини‑жобалар пайдалы, болғаны дұрыс практиканы және мысалдар күшейту.",kz,long,positive
15256,7,9,10,9,8,8,9,7,8,"процессы выстроены, логистика прозрачна. программа выглядит по современным требованиям, замечу обратная связь работают стабильно, по факту уведомления работают стабильно.",ru,long,positive
15257,9,8,10,10,8,8,10,9,9,"кеңес алу оңай, байланыс ашық, егер қысқаша кеңес алу оңай!, соңында (115)",kz,medium,positive
15258,8,7,8,9,8,8,8,7,8,"формат практики удобный, инструкции структурно и по делу., в итоге (542)",ru,medium,positive
15259,5,6,9,9,8,9,10,6,8,"преподаватели вовлечены, отвечают вовремя!, по итогу (954)",ru,short,positive
15260,7,7,5,5,5,5,6,7,3,"ерекше ескертулер жоқ. ерекше ескертулер жоқ, қарастырған жөн практиканы және жағдайлар күшейту, соңында кеңес алу оңай.",kz,long,neutral
15261,3,3,3,4,4,4,2,5,6,"материалдар уақытында жүктеледі, кейде кешігеді, қоса материалы размещают в онлайн‑платформа, иногда позже…",mixed,medium,neutral
15262,10,8,10,8,9,8,8,7,7,"тәжірибеде мысалдар жеткілікті, индустриямен байланыс бар. мини‑жобалар тақырыптарды бекітеді, қарастырған жөн практиканы және кейстер күшейту.",kz,long,positive
15263,9,5,6,6,8,5,6,7,7,"рабочая рутина, всё стабильно. без особых замечаний, имеет смысл усилить практику и кейсы, хотелось бы усилить практику и кейсы…",ru,long,neutral
